violation,file1,file2,execs1,execs2,uniq1,uniq2,presence_1minus2,presence_2minus1,frequency_1minus2_sum,frequency_2minus1_sum,frequency_1minus2_mean,frequency_2minus1_mean,frequency_1minus2_max,frequency_2minus1_max,frequency_1minus2_min,frequency_2minus1_min,frequency_1minus2_median,frequency_2minus1_median
FALSE,/home/austin/Desktop/default/ActivityCommunication1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication1_analyzeframeworks_-coverage.txt,11877555,11617344,14222,13709,538,25,260523,312,184.7680851,3.183673469,10960,105,1,1,12,1.5
FALSE,/home/austin/Desktop/default/ActivityCommunication2-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication2_analyzeframeworks_-coverage.txt,29227650,28740372,16277,15201,1155,79,511502,24224,199.1830218,20.54622561,19140,455,1,1,18,13
FALSE,/home/austin/Desktop/default/ActivityCommunication3-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication3_analyzeframeworks_-coverage.txt,14352631,14120292,13880,13039,964,123,242108,9769,151.5068836,8.421551724,9756,251,1,1,10.5,6
FALSE,/home/austin/Desktop/default/ActivityCommunication4-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication4_analyzeframeworks_-coverage.txt,13983771,13738958,13304,12341,967,4,244996,183,142.6053551,3.588235294,10289,10,1,1,6,2
FALSE,/home/austin/Desktop/default/ActivityCommunication5-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication5_analyzeframeworks_-coverage.txt,14025106,13776673,13377,12403,1039,65,248659,226,139.0710291,2.658823529,10319,13,1,1,7.5,1
FALSE,/home/austin/Desktop/default/ActivityCommunication6-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication6_analyzeframeworks_-coverage.txt,14098202,13815996,13721,12467,1263,9,282352,146,119.8438031,6.083333333,10449,13,1,1,12,1.5
FALSE,/home/austin/Desktop/default/ActivityCommunication7-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication7_analyzeframeworks_-coverage.txt,14028340,13780218,13597,12507,1094,4,248445,323,134.0771722,3.987654321,10330,18,1,1,4,2
FALSE,/home/austin/Desktop/default/ActivityCommunication8-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityCommunication8_analyzeframeworks_-coverage.txt,14058440,13813286,13464,12449,1019,4,245304,150,138.3553299,7.5,10289,13,1,1,4,19.5
FALSE,/home/austin/Desktop/default/ActivityEventSequence1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityEventSequence1_analyzeframeworks_-coverage.txt,12694818,12383603,14617,13802,819,4,311318,103,101.3404948,5.421052632,11859,9,1,1,10.5,9
TRUE,/home/austin/Desktop/default/ActivityEventSequence2-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityEventSequence2_analyzeframeworks_-coverage.txt,13147057,12791342,15252,13756,1533,37,359486,3771,95.8885036,5.387142857,11736,112,1,1,10,3
FALSE,/home/austin/Desktop/default/ActivityEventSequence3-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityEventSequence3_analyzeframeworks_-coverage.txt,13718988,12994625,15613,14713,941,41,733248,8885,217.9690844,9.235966736,12235,187,1,1,31.5,9
TRUE,/home/austin/Desktop/default/ActivityLifecycle1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityLifecycle1_analyzeframeworks_-coverage.txt,12691365,11809301,15866,13547,2383,64,885886,3822,198.1847875,5.398305085,11327,116,1,1,40.5,4.5
FALSE,/home/austin/Desktop/default/ActivityLifecycle2-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityLifecycle2_analyzeframeworks_-coverage.txt,11710634,11441153,14242,13659,630,47,269805,324,118.9616402,4.153846154,10903,10,1,1,9,6
FALSE,/home/austin/Desktop/default/ActivityLifecycle3-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityLifecycle3_analyzeframeworks_-coverage.txt,11690940,11402517,14451,13715,740,4,288492,69,102.6661922,3.631578947,11050,6,1,1,9,6
FALSE,/home/austin/Desktop/default/ActivityLifecycle4-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivityLifecycle4_analyzeframeworks_-coverage.txt,11718780,11448471,14254,13581,678,5,270438,129,114.7382266,3.909090909,10842,12,1,1,6,2
FALSE,/home/austin/Desktop/default/ActivitySavedState1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ActivitySavedState1_analyzeframeworks_-coverage.txt,9952170,9692181,14005,12666,1366,27,260156,167,83.0373444,2.53030303,7209,33,1,1,4,1.5
FALSE,/home/austin/Desktop/default/AllReflection-coverage.txt,/home/austin/Desktop/analyzeframeworks/AllReflection_analyzeframeworks_-coverage.txt,16990323,17016328,14145,14093,136,84,5177,31182,25.75621891,23.28752801,394,1038,1,1,1,6
TRUE,/home/austin/Desktop/default/AnonymousClass1-coverage.txt,/home/austin/Desktop/analyzeframeworks/AnonymousClass1_analyzeframeworks_-coverage.txt,12487090,12174337,15172,13784,1426,38,320001,7248,110.9573509,7.002898551,10324,218,1,1,22.5,4
FALSE,/home/austin/Desktop/default/ApplicationLifecycle1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ApplicationLifecycle1_analyzeframeworks_-coverage.txt,11725022,11473100,14272,13763,535,26,252213,291,179.2558635,3.683544304,10797,98,1,1,7,1
FALSE,/home/austin/Desktop/default/ApplicationLifecycle2-coverage.txt,/home/austin/Desktop/analyzeframeworks/ApplicationLifecycle2_analyzeframeworks_-coverage.txt,11752601,11480125,14739,14065,706,32,272843,367,85.45036016,5.31884058,10886,82,1,1,6,3
FALSE,/home/austin/Desktop/default/ApplicationLifecycle3-coverage.txt,/home/austin/Desktop/analyzeframeworks/ApplicationLifecycle3_analyzeframeworks_-coverage.txt,12685851,12425279,14988,14473,542,27,261268,696,182.8327502,2.195583596,11258,20,1,1,7,1
FALSE,/home/austin/Desktop/default/ApplicationModeling1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ApplicationModeling1_analyzeframeworks_-coverage.txt,10499989,10104848,14776,14113,673,10,396003,862,125.4762357,3.652542373,7624,121,1,1,24,1.5
FALSE,/home/austin/Desktop/default/ArrayAccess1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ArrayAccess1_analyzeframeworks_-coverage.txt,11726890,11468975,14847,14290,571,14,258428,513,158.4475782,2.164556962,10818,18,1,1,7,1
FALSE,/home/austin/Desktop/default/ArrayAccess2-coverage.txt,/home/austin/Desktop/analyzeframeworks/ArrayAccess2_analyzeframeworks_-coverage.txt,11694466,11446024,14653,14067,629,43,248993,551,167.4465367,1.913194444,10741,18,1,1,3,1.5
FALSE,/home/austin/Desktop/default/ArrayAccess3-coverage.txt,/home/austin/Desktop/analyzeframeworks/ArrayAccess3_analyzeframeworks_-coverage.txt,11724274,11466352,14845,14291,562,8,258421,499,158.1523868,2.132478632,10818,18,1,1,10.5,1.5
FALSE,/home/austin/Desktop/default/ArrayAccess4-coverage.txt,/home/austin/Desktop/analyzeframeworks/ArrayAccess4_analyzeframeworks_-coverage.txt,12341005,12089579,15168,14663,559,54,262669,11243,171.3431181,5.541153277,10350,239,1,1,9,2
FALSE,/home/austin/Desktop/default/ArrayAccess5-coverage.txt,/home/austin/Desktop/analyzeframeworks/ArrayAccess5_analyzeframeworks_-coverage.txt,11764314,11471967,14936,13714,1232,10,292814,467,108.4496296,2.266990291,10818,18,1,1,9,1.5
FALSE,/home/austin/Desktop/default/ArrayCopy1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ArrayCopy1_analyzeframeworks_-coverage.txt,9996458,9796286,14068,13589,499,20,200729,557,148.4681953,2.158914729,7139,37,1,1,6,1.5
TRUE,/home/austin/Desktop/default/ArrayToString1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ArrayToString1_analyzeframeworks_-coverage.txt,9955686,9736637,14009,12917,1096,4,219526,477,95.48760331,2.228971963,7063,34,1,1,2,1.5
FALSE,/home/austin/Desktop/default/AsynchronousEventOrdering1-coverage.txt,/home/austin/Desktop/analyzeframeworks/AsynchronousEventOrdering1_analyzeframeworks_-coverage.txt,9983656,9751040,14273,13583,728,38,232777,161,86.66306776,1.829545455,7366,6,1,1,9,1.5
FALSE,/home/austin/Desktop/default/AsyncTask1-coverage.txt,/home/austin/Desktop/analyzeframeworks/AsyncTask1_analyzeframeworks_-coverage.txt,13320839,13163985,14842,14279,570,7,157396,542,162.7673216,2.377192982,9548,18,1,1,4,1.5
FALSE,/home/austin/Desktop/default/Battery1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Battery1_analyzeframeworks_-coverage.txt,22613389,22408490,14188,13726,486,24,205302,403,235.9793103,4.477777778,13699,175,1,1,3,1.5
FALSE,/home/austin/Desktop/default/Bluetooth1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Bluetooth1_analyzeframeworks_-coverage.txt,22514707,22307730,13707,13232,480,5,207185,208,247.5328554,8,13872,94,1,1,2,3
FALSE,/home/austin/Desktop/default/BroadcastReceiverLifecycle1-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastReceiverLifecycle1_analyzeframeworks_-coverage.txt,11365901,11123066,13035,12554,485,4,242866,31,187.3966049,1.55,10666,2,1,1,3,3
FALSE,/home/austin/Desktop/default/BroadcastReceiverLifecycle2-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastReceiverLifecycle2_analyzeframeworks_-coverage.txt,13301289,13133431,14524,13612,922,10,168048,190,74.65482008,7.037037037,9622,16,1,1,4,1
FALSE,/home/austin/Desktop/default/BroadcastReceiverLifecycle3-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastReceiverLifecycle3_analyzeframeworks_-coverage.txt,13246868,13093198,13399,12906,498,5,153879,209,172.8977528,4.75,9583,16,1,1,1.5,1.5
FALSE,/home/austin/Desktop/default/BroadcastTaintAndLeak1-coverage.txt,/home/austin/Desktop/analyzeframeworks/BroadcastTaintAndLeak1_analyzeframeworks_-coverage.txt,9011679,8726106,13979,12478,1505,4,285734,161,90.73801207,8.05,7316,14,1,1,4,21
FALSE,/home/austin/Desktop/default/Build1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Build1_analyzeframeworks_-coverage.txt,22920905,22735215,14322,13901,482,61,198752,13062,258.4551365,11.67292225,13094,280,1,1,2,6
FALSE,/home/austin/Desktop/default/Button1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button1_analyzeframeworks_-coverage.txt,11816324,11540146,14433,13732,707,6,276324,146,119.1051724,3.743589744,10885,12,1,1,13.5,3
TRUE,/home/austin/Desktop/default/Button2-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button2_analyzeframeworks_-coverage.txt,13059400,12469413,15880,14865,1023,8,593865,3878,148.6148649,5.446629213,11021,96,1,1,42,6
FALSE,/home/austin/Desktop/default/Button3-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button3_analyzeframeworks_-coverage.txt,13530525,13257141,15518,15010,584,76,296335,22951,172.4883586,9.914038877,11223,255,1,1,18,5
FALSE,/home/austin/Desktop/default/Button4-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button4_analyzeframeworks_-coverage.txt,11792014,11519151,14416,13788,633,5,273014,151,121.1779849,3.595238095,10869,12,1,1,9,4.5
FALSE,/home/austin/Desktop/default/Button5-coverage.txt,/home/austin/Desktop/analyzeframeworks/Button5_analyzeframeworks_-coverage.txt,12158152,11852233,14259,13205,1072,18,306043,124,97.68368975,2.583333333,11091,6,1,1,8,1.5
FALSE,/home/austin/Desktop/default/BytecodeTamper1-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper1_analyzeframeworks_-coverage.txt,9666875,9477528,12551,12363,250,62,189602,255,180.4015224,2.65625,6932,61,1,1,6,1.5
FALSE,/home/austin/Desktop/default/BytecodeTamper2-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper2_analyzeframeworks_-coverage.txt,9439374,9435003,12050,11925,133,8,4540,169,16.15658363,4.828571429,394,52,1,1,1,4
FALSE,/home/austin/Desktop/default/BytecodeTamper3-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper3_analyzeframeworks_-coverage.txt,9481957,9477758,12086,11975,133,22,4450,251,25.42857143,2.56122449,394,53,1,1,1,1.5
FALSE,/home/austin/Desktop/default/BytecodeTamper4-coverage.txt,/home/austin/Desktop/analyzeframeworks/BytecodeTamper4_analyzeframeworks_-coverage.txt,9446140,9441760,12090,11957,137,4,4530,150,19.03361345,5.769230769,394,57,1,1,1.5,3
FALSE,/home/austin/Desktop/default/Clone1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Clone1_analyzeframeworks_-coverage.txt,9937445,9749525,13172,12256,978,62,188126,206,89.96939264,2.543209877,7219,19,1,1,4,1
FALSE,/home/austin/Desktop/default/Collector-coverage.txt,/home/austin/Desktop/analyzeframeworks/Collector_analyzeframeworks_-coverage.txt,21751235,21766815,13573,13500,132,59,4344,19924,28.20779221,16.60333333,394,621,1,1,1.5,10.5
FALSE,/home/austin/Desktop/default/ComponentNotInManifest1-coverage.txt,/home/austin/Desktop/analyzeframeworks/ComponentNotInManifest1_analyzeframeworks_-coverage.txt,13782557,13536189,13370,12380,1013,23,246505,137,139.6628895,3.341463415,10325,10,1,1,4,1
FALSE,/home/austin/Desktop/default/Contacts1-coverage.txt,/home/austin/Desktop/analyzeframeworks/Contacts1_analyzeframeworks_-coverage.txt,22499647,22291510,13984,13436,552,4,208369,232,222.616453,10.54545455,13767,87,1,1,4.5,18
