apk,category,violation_type,is_violation,config1,config2,aql_timer,ast_changes,bad_aql_runs_binary,bad_aql_runs_hdd,bad_compile_runs_binary,bad_compile_runs_hdd,binary_timer,compile_timer,end_line_count,good_aql_runs_binary,good_aql_runs_hdd,good_compile_runs_binary,good_compile_runs_hdd,hdd_timer,jdeps_timer,method_timer,program_timer,rejected_changes,setup_timer,start_line_count,time_bad_aql_runs_binary,time_bad_aql_runs_hdd,time_bad_compile_runs_binary,time_bad_compile_runs_hdd,time_good_aql_runs_binary,time_good_aql_runs_hdd,time_good_compile_runs_binary,time_good_compile_runs_hdd,total_rotations
BroadcastReceiverLifecycle1,Lifecycle,TRUE,TRUE,7baaab9e231dd6adfa7d2d5ed04ed0e8,42c84347476d849c5186279326650631,0,8,0,3,0,5,63,0,16,0,0,0,3,630,5,0,804,11,111,16,0,34,0,338,0,0,0,257,1
ServiceLifecycle1,Lifecycle,TRUE,TRUE,cfd95fd0a60d05e28f68af32281dcb9d,c35ed0b7f9c3d443ecacff168d0a98c6,0,13,0,1,0,12,36,0,24,0,0,0,1,668,4,0,815,18,109,24,0,14,0,635,0,0,0,17,1
ActivityLifecycle3,Lifecycle,TRUE,TRUE,7196205eb13a717874272a12b099976f,8c2f49cd67cbce790bfe5e2a3cf6ad87,0,14,0,0,0,13,41,0,18,0,1,0,1,386,5,0,501,16,72,23,0,0,0,346,0,17,0,22,2
StringToCharArray1,GeneralJava,TRUE,TRUE,95682e3ba9ce7d830b6f14564a4124f8,00df5dcb7fef4d77dc4e2a6f0a2056f4,0,15,0,3,0,12,93,0,18,0,0,0,3,922,5,0,1072,32,55,18,0,40,0,670,0,0,0,211,1
StringPatternMatching1,GeneralJava,TRUE,TRUE,5c2abed233d2263f7fde277efb2c6326,c35ed0b7f9c3d443ecacff168d0a98c6,0,20,0,1,0,17,87,0,19,0,2,0,3,1038,3,0,1242,30,115,21,0,12,0,847,0,30,0,147,2
AsynchronousEventOrdering1,Lifecycle,TRUE,TRUE,de67f959377c84f91410206a10b57495,22562e10e3112e5c53f176bb1d80413c,0,26,0,3,0,17,81,0,14,0,6,0,9,1359,4,0,1510,39,69,24,0,40,0,863,0,90,0,364,3
StringToCharArray1,GeneralJava,TRUE,TRUE,7196205eb13a717874272a12b099976f,1ef9d1d10bc982ab49d3b8eaf4409c05,0,15,0,4,0,11,94,0,18,0,0,0,4,996,7,0,1123,32,31,18,0,47,0,813,0,0,0,135,1
Button4,Callbacks,TRUE,TRUE,c59167715f1aa44341707631a416c074,c428ab5f184d796b88866f07b6e2fa38,0,17,0,3,0,12,73,0,20,0,2,0,5,1091,4,0,1236,24,71,22,0,34,0,785,0,31,0,240,2
Obfuscation1,AndroidSpecific,TRUE,TRUE,ca56131a7c713fed2a7fb88ee3d7603c,e5613aad75bc3bad53f848ba14482c54,0,16,1,2,1,12,117,0,28,0,0,1,2,1529,5,0,1662,20,15,28,13,32,5,1285,0,0,74,211,1
ArrayCopy1,ArraysAndLists,TRUE,TRUE,9e71d1dbb7f99254dd5f81811f612f41,91964892620be59e2aad306477d20772,0,29,0,5,0,22,35,0,16,0,2,0,7,1527,4,0,1675,58,111,18,0,71,0,1260,0,30,0,164,2
Exceptions2,GeneralJava,TRUE,TRUE,9e71d1dbb7f99254dd5f81811f612f41,455b5a41fee3f4d1e256727f07d3f3f7,0,21,0,2,0,18,37,0,21,0,1,0,3,1205,5,0,1316,30,72,23,0,26,0,1044,0,18,0,115,2
RegisterGlobal2,Callbacks,TRUE,TRUE,b113be2d9166c32182a638bbebda617a,c167cc6905f08070a40daaa496572761,0,17,0,3,0,10,131,0,34,1,3,1,6,1049,5,0,1262,19,81,50,0,40,0,707,16,47,57,253,2
IMEI1,EmulatorDetection,TRUE,TRUE,9e71d1dbb7f99254dd5f81811f612f41,691c8aee3c8122ba7071c39842bf3a89,0,25,0,5,0,20,34,0,31,0,0,0,5,1556,5,0,1739,53,149,31,0,77,0,1232,0,0,0,245,1
Loop1,GeneralJava,TRUE,TRUE,95682e3ba9ce7d830b6f14564a4124f8,c167cc6905f08070a40daaa496572761,0,13,0,2,0,11,256,0,18,0,0,0,2,1158,4,0,1485,24,70,18,0,34,0,1020,0,0,0,102,1
